modality,chunk_size,seed,acc,auc,region
spatial,1600.0,19,60.317460317460316,0.693711967545639,ncx
temporal,0.0,19,65.07936507936508,0.6896551724137929,ncx
temporal,100.0,19,57.14285714285714,0.6450304259634888,ncx
temporal,200.0,19,66.66666666666667,0.7261663286004056,ncx
temporal,400.0,19,69.84126984126982,0.7393509127789046,ncx
temporal,800.0,19,69.84126984126982,0.7545638945233264,ncx
temporal,1600.0,19,68.25396825396825,0.762677484787018,ncx
morphological,0.0,19,98.41269841269842,0.9949290060851926,ncx
morphological,100.0,19,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,19,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,19,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,19,98.41269841269842,0.995943204868154,ncx
morphological,1600.0,19,98.41269841269842,0.9969574036511156,ncx
spatial,0.0,0,100.0,1.0,ca1
spatial,100.0,0,83.33333333333333,0.8195488721804511,ca1
spatial,200.0,0,84.44444444444444,0.8167293233082707,ca1
spatial,400.0,0,83.33333333333333,0.8552631578947368,ca1
spatial,800.0,0,85.55555555555556,0.8646616541353384,ca1
spatial,1600.0,0,88.8888888888889,0.875,ca1
temporal,0.0,0,100.0,1.0,ca1
temporal,100.0,0,94.44444444444444,0.9915413533834586,ca1
temporal,200.0,0,95.55555555555556,0.9906015037593984,ca1
temporal,400.0,0,95.55555555555556,0.9896616541353384,ca1
temporal,800.0,0,95.55555555555556,0.9934210526315791,ca1
temporal,1600.0,0,95.55555555555556,0.9896616541353384,ca1
morphological,0.0,0,100.0,1.0,ca1
morphological,100.0,0,96.66666666666669,1.0,ca1
morphological,200.0,0,100.0,1.0,ca1
morphological,400.0,0,100.0,1.0,ca1
morphological,800.0,0,100.0,1.0,ca1
morphological,1600.0,0,98.88888888888887,1.0,ca1
spatial,0.0,1,100.0,1.0,ca1
spatial,100.0,1,100.0,1.0,ca1
spatial,200.0,1,100.0,1.0,ca1
spatial,400.0,1,100.0,1.0,ca1
spatial,800.0,1,100.0,1.0,ca1
spatial,1600.0,1,100.0,1.0,ca1
temporal,0.0,1,100.0,1.0,ca1
temporal,100.0,1,98.88888888888887,1.0,ca1
temporal,200.0,1,100.0,1.0,ca1
temporal,400.0,1,100.0,1.0,ca1
temporal,800.0,1,100.0,1.0,ca1
temporal,1600.0,1,100.0,1.0,ca1
morphological,0.0,1,100.0,1.0,ca1
morphological,100.0,1,100.0,1.0,ca1
morphological,200.0,1,100.0,1.0,ca1
morphological,400.0,1,100.0,1.0,ca1
morphological,800.0,1,100.0,1.0,ca1
morphological,1600.0,1,100.0,1.0,ca1
spatial,0.0,2,100.0,1.0,ca1
spatial,100.0,2,94.44444444444444,0.9953007518796992,ca1
spatial,200.0,2,98.88888888888887,0.9971804511278196,ca1
spatial,400.0,2,98.88888888888887,0.9981203007518796,ca1
spatial,800.0,2,97.77777777777777,0.99906015037594,ca1
spatial,1600.0,2,97.77777777777777,0.99906015037594,ca1
temporal,0.0,2,100.0,1.0,ca1
temporal,100.0,2,98.88888888888887,1.0,ca1
temporal,200.0,2,100.0,1.0,ca1
temporal,400.0,2,100.0,1.0,ca1
temporal,800.0,2,100.0,1.0,ca1
temporal,1600.0,2,100.0,1.0,ca1
morphological,0.0,2,100.0,1.0,ca1
morphological,100.0,2,100.0,1.0,ca1
morphological,200.0,2,100.0,1.0,ca1
morphological,400.0,2,100.0,1.0,ca1
morphological,800.0,2,100.0,1.0,ca1
morphological,1600.0,2,100.0,1.0,ca1
spatial,0.0,3,96.66666666666669,0.9896616541353384,ca1
spatial,100.0,3,94.44444444444444,0.9906015037593984,ca1
spatial,200.0,3,96.66666666666669,0.9934210526315788,ca1
spatial,400.0,3,97.77777777777777,1.0,ca1
spatial,800.0,3,96.66666666666669,0.99906015037594,ca1
spatial,1600.0,3,97.77777777777777,1.0,ca1
temporal,0.0,3,97.77777777777777,0.9962406015037596,ca1
temporal,100.0,3,100.0,1.0,ca1
temporal,200.0,3,100.0,1.0,ca1
temporal,400.0,3,100.0,1.0,ca1
